incident_id,crime_type,district,city,state,address,latitude,longitude,incident_datetime,officer_id,officer_first_name,officer_last_name,badge_number,suspect_id,suspect_first_name,suspect_last_name,suspect_age,suspect_gender,suspect_race,victim_id,victim_first_name,victim_last_name,victim_age,victim_gender,victim_phone,weapon_used,severity,case_status,resolution,num_arrests,property_loss_usd,reported_online,notes
INC001115,asslt,Sou,Maplewood,GA,2830 Cedar Lane,170.2841,-77.50071,2024-04-16 08:45:03,OFF0078,Emily,Davis,1342,SUS00281,Barbara,Thomas,51.0,MALE,asian,VIC00642,Robert,Torres,51,Unknown,6223265920,Firearm,2,Open,No Arrest,,,True,Incident at 2830 Cedar Lane. Officer responded at scene.
INC004706,burglary, southeast,Maplewood,OH,2361 Park Rd,29.422717,-77.167016,2022-01-11 22:03:29,OFF0059,Michelle,Green,5133,SUS00376,Barbara,Harris,-28,Other,Black,VIC00262,John,Martin,231,,241-973-4826,Firearm,3,N/A,,2,44839.49,yes,Incident at 2361 Park Rd. Officer responded at scene.
INC002249,Homocide,Southwest  ,Lakewood,AZ,1067 Main St,39.41146,-98.615298,2022-04-14 11:39:24,OFF0088,Michael,White,7781,SUS00560,Richard,Scott,19,F,asian,VIC00518,Richard,Hill,29,Other,244-584-7696,KNIFE,1,CLOSED,warning,2,15963.38,YES,Incident at 1067 Main St. Officer responded at scene.
INC000021,Property Damage,Cen,Springfield,AZ,4713 Washington Ave,28.633439,-99.030051,2020-12-09 15:14:24,OFF0077,Chris,Jackson,5097,SUS00468,Michael,Thomas,262,MALE,Black,VIC00243,Susan,Young,243,N/A,5021227484,hands,Low,Resolved,N/A,5,48680.14,False,Incident at 4713 Washington Ave. Officer responded at scene.
INC000488,Domestc Violence, North,Lakewood,PA,1371 River Rd,34.21785,-121.614731,2021-07-24 20:08:13,OFF0083,Susan,Flores,6220,SUS00751,Thomas,Jackson,75,female,white,VIC00512,Thomas,Thomas,51,M,9698766873,Unarmed,MEDIUM,Closed,Warning Issued,2,23513.01,YES,
INC000661,Breaking & Entering,East  ,Hillcrest,CA,3551 Elm Blvd,44.438603,-101.775119,05-03-2020,OFF0089,Jennifer,Green,7082,SUS00454,James,Lee,73,N/A,White,VIC00473,Anthony,Wilson,15,N/A,590-332-6488,Blunt Object,high,under investigation,arrest made,1,,YES,Incident at 3551 Elm Blvd. Officer responded at scene.
INC001727,robbery,southeast,Maplewood,TX,7394 Cedar Lane,38.525825,-90.100219,2021-10-03 05:17:02,OFF0141,Jennifer,Harris,7747,SUS00623,Carol,Harris,58,Female,Unknown,VIC00429,Mary,Walker,72,female,431-579-6170,Blunt Object,,CLOSED,warning,3,,YES,Incident at 7394 Cedar Lane. Officer responded at scene.
INC003981,manslaughter,midtown,Centerville,IL,1610 River Rd,46.854678,-99.512808,2023-09-30 14:49:01,OFF0008,Karen,Hall,7869,SUS00533,Jennifer,Taylor,73,MALE,White,VIC00904,David,Torres,,female,587-505-1798,None,1,open,No Arrest,2,19075.36,no,Incident at 1610 River Rd. Officer responded at scene.
INC001205,B&E,East  ,Centerville,OH,378 Oak Ave,38.869063,-114.385749,2021-01-22 02:37:24,OFF0034,Daniel,Jackson,8229,SUS00320,Robert,Hill,26,m,Hispanic,VIC00093,Mary,Lee,55,Other,3956212676,hands,Crit,under investigation,warning,0,34452.47,yes,Incident at 378 Oak Ave. Officer responded at scene.
INC000972,Homocide,northeast,Riverside,IL,8974 Park Rd,42.018768,-72.384742,2021-03-29 04:16:18,OFF0093,Mary,Thompson,7242,,,,,,,VIC00859,Michelle,Hill,10,N/A,376-440-3132,Rifle,2,Investgation,N/A,5,35339.52,,
